DATE,HOTEL/FIRM,CODE,"JOB DESCRIPTION",JOB.,QTY,PRICE,AMOUNT,PAPER,COLOR,งานหลังพิมพ์,จำนวนเที่ยววิ่ง,ช่างอาร์ต,เครื่องพิมพ์,ช่างพิมพ์,COOR,NEW/OLD,วันที่เสร็จ,TEL.
18-03-23,"Samui Safari Tour",TR,"brochure 3 fold",81996,1000,5,5000,"art 157","cmyk 2 side ",พับ,,ปัด,GTO4,แอ้,ตา,N,18-03-23,
18-03-23,"Kamalaya Koh Samui",H,"hotel map",81997,2000,6,12000,"การ์ดขาว 120 แกรม","cmyk 2 side ","ไดคัท ติดเทปกาว เนื้อในพับ",,PL,MO4,แอ้,ตา,O,18-03-23,
18-03-23,"3D Pest Control Samui",O,nc,81287,200,3,600,"art 157","cmyk 2 side ","100*2 name",,ปัด,GTO4,"laser ",ตา,N,18-03-23,
18-03-23,"khong prod ของโปรด",,"sticker ",82055,20,45,900,"pp matt","cmyk 1 side ",ตัด,,โอ๋,"Digital Print","laser ",ตา,N,18-03-23,
18-03-23,"Kirikayan Boutique Resort",H,"ซองจดหมาย เล็ก",82388,1000,3.8,3800,ซองขาวฝาแหลม,"1 สี คือ ทอง หน้า/หลัง ",,,PL,"ตัด 11",ปัด,ตา,N,18-03-23,
18-03-23,kimpton,,"tag beach bag",81465,500,3,1500,"คราฟ น้ำตาล 230","1 สี คือ ดำ ","ตัดเจาะรู ผูกเชือก มัดแล้ว 4 นิ้ว",,ปัด,"Digital Print","laser ",ตา,N,18-03-23,
18-03-23,คลินิคทันตกรรมสไมล์โฮม,,บัตรประจำตัวคนไข้,82101,500,2.8,1400,"การ์ด 240 แกรม","cmyk 2 side ",,,ปัด,"Digital Print","laser ",ตา,N,18-03-23,
18-03-23,"The Sea Koh Samui",H,nc,81993,100,4.5,450,"art 300 g ","cmyk 2 side ",,,โอ๋,"Digital Print","laser ",ตา,N,18-03-23,
18-03-23,"Rasta coconut oil",,"get we on the way",82431,24,35,540,"art 300 g ","cmyk 1 side ",,,ปัด,"Digital Print","laser ",ตา,N,18-03-23,
18-03-23,"Samui Aksorn ",O,สมุดรับงาน,81965,20,,0,"เคมี 2 ใบ ขาว ชมพู ","1 สี คือ ดำ ","รันเลขที่ 82501-83500 ปรุ ล่างสีชมพูให้ลูกค้า",,PL,"ตัด 5",เมฆ,ตา,N,18-03-23,
